Nº Patrimônio,Produto,Descrição,Valor,Logradouro,Complemento,Bairro,Cep,Cidade,Estado,Observacao,Telefone,Cód. Projeto,Projeto,Gestor,Coordenador,Situação
,Computador Desktop,"Computador servidor: Servidor Desktop Computador
Intel Xeon Quad Core 8GB HD 2TB Placa de vídeo
Geforce GT CorPC Safe",7590,Av. João Valério,Sala 6,São Geraldo,69053358,Manaus,Amazonas,"Assistente. Rhanna Lima
Processo de compra 4192/2022
",,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Encadernadora,"Encadernadora Duplimatic Conj.2x1: furo
quadrado; garra duplo anel p/ 15 fls,
encadernações de 110 a 270 folhas.",1899,Av. João Valério,Sala 6,São Geraldo,69053358,Manaus,Amazonas,"PROCESSO DE COMPRA 4146/2022, Assistente de compras Rhanna Lima",,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
,Computador ,"11 (ONZE) UNIDADES de Processadorores 11ª geração de Intel® Core™ i7-11800H (8-core, cache de 24MB, até 4.6GHz). Sistema operacional: Windows 11 Home Single Language, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas). Placa de vídeo: NVIDIA® GeForce® RTX™ 3060, 6GB GDDR6. Tela: Full HD de 15.6"" (1920 x 1080), 165Hz, 300 nits, WVA. Armazenamento: SSD de 512GB PCIe NVMe M.2. Memória: 16GB (2x8GB), DDR4, 3200MHz; Expansível até 32GB. Bateria principal: de 6 células e 86Wh (integrada). Wireless. Placa de rede Killer™ Wireless™ AX1650 (2x2, 802.11ax) + Bluetooth",8500,Av. Gov. Danilo de Matos Areosa,,Distrito Industrial,69075351,Manaus,Amazonas,"Entrega no polo de inovação, a um colaborador da FAEPI",(92) 99373-3790,90,IFAM 2022-005 - CITS - RAMI 4.0 (11381-6),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Registrado
